Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 45.1824 s
# Params: 3483703
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 40.4904 s
# Params: 3483703
Epoch 10, Time(s): 1.2874 11.4276, Best Val loss: 0.4555, Accs: Train: 0.8891, Val: 0.8844, Test: 0.7328, Best Val: 0.8844, Best Test: 0.7328
Epoch 20, Time(s): 1.3268 11.0434, Best Val loss: 0.3868, Accs: Train: 0.9048, Val: 0.8970, Test: 0.7690, Best Val: 0.8970, Best Test: 0.7690
Epoch 30, Time(s): 1.3567 10.6681, Best Val loss: 0.3579, Accs: Train: 0.9132, Val: 0.9047, Test: 0.7803, Best Val: 0.9047, Best Test: 0.7803
Epoch 40, Time(s): 1.5366 10.7677, Best Val loss: 0.3390, Accs: Train: 0.9190, Val: 0.9097, Test: 0.7855, Best Val: 0.9097, Best Test: 0.7855
Epoch 50, Time(s): 1.3978 11.2529, Best Val loss: 0.3258, Accs: Train: 0.9230, Val: 0.9122, Test: 0.7894, Best Val: 0.9122, Best Test: 0.7894
Epoch 60, Time(s): 1.4248 11.1573, Best Val loss: 0.3168, Accs: Train: 0.9265, Val: 0.9144, Test: 0.7931, Best Val: 0.9144, Best Test: 0.7931
Epoch 70, Time(s): 1.3320 10.5265, Best Val loss: 0.3106, Accs: Train: 0.9297, Val: 0.9161, Test: 0.7943, Best Val: 0.9161, Best Test: 0.7943
Epoch 80, Time(s): 1.2705 10.5800, Best Val loss: 0.3058, Accs: Train: 0.9322, Val: 0.9175, Test: 0.7967, Best Val: 0.9175, Best Test: 0.7967
Epoch 90, Time(s): 1.3126 11.0733, Best Val loss: 0.3006, Accs: Train: 0.9349, Val: 0.9189, Test: 0.7963, Best Val: 0.9189, Best Test: 0.7963
Epoch 100, Time(s): 1.4400 10.9944, Best Val loss: 0.2986, Accs: Train: 0.9366, Val: 0.9197, Test: 0.7973, Best Val: 0.9197, Best Test: 0.7973
Epoch 110, Time(s): 1.3979 11.1043, Best Val loss: 0.2961, Accs: Train: 0.9386, Val: 0.9209, Test: 0.7985, Best Val: 0.9209, Best Test: 0.7985
Epoch 120, Time(s): 1.4675 11.0028, Best Val loss: 0.2938, Accs: Train: 0.9404, Val: 0.9214, Test: 0.8000, Best Val: 0.9214, Best Test: 0.8000
Epoch 130, Time(s): 1.2783 10.4852, Best Val loss: 0.2926, Accs: Train: 0.9418, Val: 0.9218, Test: 0.7999, Best Val: 0.9218, Best Test: 0.7999
Epoch 140, Time(s): 1.4434 11.1629, Best Val loss: 0.2911, Accs: Train: 0.9435, Val: 0.9225, Test: 0.8001, Best Val: 0.9225, Best Test: 0.8001
Epoch 150, Time(s): 1.3355 11.0627, Best Val loss: 0.2898, Accs: Train: 0.9449, Val: 0.9226, Test: 0.8004, Best Val: 0.9226, Best Test: 0.8004
Epoch 160, Time(s): 1.5219 10.9960, Best Val loss: 0.2894, Accs: Train: 0.9461, Val: 0.9232, Test: 0.8017, Best Val: 0.9232, Best Test: 0.8017
Epoch 170, Time(s): 1.3468 11.3168, Best Val loss: 0.2890, Accs: Train: 0.9475, Val: 0.9238, Test: 0.8013, Best Val: 0.9238, Best Test: 0.8013
Epoch 180, Time(s): 1.3674 10.6705, Best Val loss: 0.2887, Accs: Train: 0.9487, Val: 0.9242, Test: 0.8013, Best Val: 0.9242, Best Test: 0.8013
Epoch 190, Time(s): 1.2744 11.3340, Best Val loss: 0.2879, Accs: Train: 0.9496, Val: 0.9255, Test: 0.8020, Best Val: 0.9255, Best Test: 0.8020
Epoch 200, Time(s): 1.3383 10.3543, Best Val loss: 0.2879, Accs: Train: 0.9511, Val: 0.9251, Test: 0.8042, Best Val: 0.9255, Best Test: 0.8020
Epoch 210, Time(s): 1.2890 10.2467, Best Val loss: 0.2875, Accs: Train: 0.9520, Val: 0.9258, Test: 0.8031, Best Val: 0.9258, Best Test: 0.8031
Epoch 220, Time(s): 1.3344 10.2207, Best Val loss: 0.2885, Accs: Train: 0.9530, Val: 0.9261, Test: 0.8037, Best Val: 0.9261, Best Test: 0.8037
Epoch 230, Time(s): 1.2586 10.0374, Best Val loss: 0.2885, Accs: Train: 0.9539, Val: 0.9259, Test: 0.8046, Best Val: 0.9261, Best Test: 0.8037
